"kingdom" "supergroup" "division" "class" "order" "family" "genus" "species"
"asv_023_00071" "Eukaryota" "Stramenopiles" "Ochrophyta" "Bacillariophyta" "Bacillariophyta_X" "Polar-centric-Mediophyceae" "Thalassiosira" "Thalassiosira_anguste-lineata"
"asv_023_00072" "Eukaryota" "Opisthokonta" "Metazoa" "Ctenophora" "Ctenophora_X" "Ctenophora_XX" "Mertensia" "Mertensia_ovum"
"asv_023_00073" "Eukaryota" "Stramenopiles" "Ochrophyta" "Bolidophyceae" "Parmales" "Triparmaceae" "Triparma" "Triparma_laevis_clade"
"asv_023_00074" "Eukaryota" "Opisthokonta" "Choanoflagellida" "Choanoflagellatea" "Acanthoecida" "Stephanoecidae_Group_H" "Stephanoecidae_Group_H_X" "Stephanoecidae_Group_H_X_sp."
"asv_023_00075" "Eukaryota" "Stramenopiles" "Ochrophyta" "Dictyochophyceae" "Dictyochophyceae_X" "Dictyochales" "Dictyocha" "Dictyocha_speculum"
"asv_023_00076" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" "Gymnodiniales" "Gymnodiniaceae" "Gyrodinium" "Gyrodinium_helveticum"
"asv_023_00077" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Choreotrichida" "Strobilidiidae_A" "Strobilidiidae_A_X" "Strobilidiidae_A_X_sp."
"asv_023_00078" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Strombidiida" "Strombidiidae_H" "Strombidiidae_H_X" "Strombidiidae_H_X_sp."
"asv_023_00079" "Eukaryota" "Stramenopiles" "Ochrophyta" "Bacillariophyta" "Bacillariophyta_X" "Polar-centric-Mediophyceae" "Eucampia" "Eucampia_sp."
"asv_023_00080" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Choreotrichida" "Leegaardiellidae_B" "Leegaardiella" "Leegaardiella_sp."
